TA	Input1	Input2	Input3	Ctrl1	Ctrl2	Ctrl3	CI1	CI2	CI3	RI1	RI2	RI3
4016753	1813	1436	1954	2064	1090	1597	1239	1754	1393	1507	1163	1794
1502847	1419	1124	1817	2027	1162	1593	1237	1509	1639	1411	1154	1734
754229	1638	1247	2180	1886	1117	1473	1232	1898	1587	1351	1028	2111
2916064	1576	1313	2013	1683	849	1236	1227	1792	1477	1218	1228	1787
2214674	1429	1142	1912	1864	1094	1341	1213	1770	1447	1444	1012	1742
4130122	1546	1157	1995	1874	1124	1520	1212	1770	1439	1293	857	1499
2954815	1523	1321	1953	1721	1022	1517	1207	1631	1439	1063	943	1733
2993598	1729	1122	1879	1984	1186	1756	1205	2153	1651	1310	1175	1690
4319735	1226	957	1683	1339	835	1071	1198	1773	1632	1193	972	1706
1995974	1882	1247	2223	2301	1332	1789	1189	1997	1445	1607	1318	2018
1887347	2008	1542	2149	2403	1296	1874	1188	1801	1501	1746	1812	2132
216747	1869	1552	2335	2032	1231	1541	1187	1923	1561	1527	1201	1991
1098309	1788	1278	2240	1959	1109	1586	1185	2092	1576	1675	1264	2168
3910348	2137	1616	2729	2143	1238	1561	1175	1546	1574	1730	1423	2476
2430562	1770	1418	1900	1857	1221	1702	1154	1569	1419	1576	1168	1840
193624	1688	1307	1950	1726	1149	1484	1149	1503	1361	1349	1346	1883
2693143	1425	1185	1781	1848	1147	1350	1119	1701	1225	1196	950	1542
3294496	2051	1530	2637	2017	1219	1728	1102	1662	1379	1378	1352	2232
2627915	1027	713	1314	1260	612	979	1102	1859	1248	1020	798	1547
1040856	1471	1121	1736	1656	854	1253	1098	1550	1397	1079	989	1586
1482538	1547	1238	1874	1723	995	1271	1091	1594	1406	1369	926	1774
2052970	1380	882	947	1880	1502	1245	1075	1404	1616	1540	1702	1435
599316	1139	1092	1635	1380	875	1182	1073	1441	1312	938	813	1568
201398	125	125	221	125	89	115	1060	2508	723	2265	1151	3091
1368647	1823	1374	2146	3206	1620	2378	1058	1715	1043	2078	1622	3745
2550423	4229	3496	5476	2383	1730	2323	1043	1627	924	2299	2452	3260
4157703	1430	1203	1791	1524	1044	1372	1042	1811	1313	1053	859	1641
1372751	2303	1586	2838	2056	1409	1751	1042	1745	1157	1885	1521	2358
3375165	1710	1396	1985	1813	938	1574	1041	1579	1308	1444	1236	1917
1824224	1162	728	1294	1407	860	1279	1039	1696	1409	1093	685	1262
2958854	1378	989	1526	1613	975	1413	1037	1476	1030	1305	1009	1458
596928	1511	1138	1731	1767	1037	1412	1030	1668	1447	1206	1139	1700
3278613	1433	1105	1716	1634	864	1352	1030	1435	1227	1192	796	1623
1647581	1561	1029	1700	1644	988	1417	1018	1566	1425	1339	1072	1818
2367656	172	144	276	229	121	187	1017	3321	876	397	250	643
2921999	1733	1225	2025	2061	1188	1497	1010	1595	1187	1490	1715	1873
1092715	1479	1198	1873	2095	1058	1534	1008	1478	1239	1225	957	1606
2220480	1317	1088	1665	1531	993	1228	1003	1310	1164	1057	983	1792
575051	1844	1134	2024	1731	1123	1705	1001	1667	1440	1352	1032	1476
4095896	1291	1068	1653	1308	952	1256	994	1400	1183	952	935	1282
3808367	1381	1092	1621	1664	953	1292	990	1339	1144	1241	1180	1732
2957904	1636	1308	2087	1550	971	1200	984	1636	1105	1447	1249	2262
3973921	1370	1046	1561	1579	906	1140	982	1388	1256	1027	1016	1670
4104749	848	610	896	717	360	477	960	1153	1089	331	292	547
1538165	1232	1078	1690	1646	901	1153	957	1313	1144	1058	879	1619
2179846	1452	1051	1608	1790	990	1317	956	1444	1312	1146	932	1550
35552	1905	1541	2518	1287	774	1151	954	1698	1041	1246	1335	2138
752746	1418	1071	1534	1402	863	1062	951	1318	1085	1122	924	1350
3119703	1305	1179	1708	1563	965	1306	951	1552	1254	1083	1097	1860
217854	957	724	1148	1103	717	1002	946	1496	1282	896	779	1427
3991847	1313	1019	1702	1292	837	1264	945	1444	1056	1021	814	1530
324385	1958	1573	2139	1788	1094	1381	940	1266	1101	1817	1821	2756
97841	1253	1090	1287	1318	823	1182	938	1247	1303	958	734	1375
2105390	1604	1240	1883	1760	1072	1414	934	1196	1124	1385	951	1561
3521045	1211	930	1651	1427	784	1123	926	1371	1134	1159	890	1485
293614	1860	1360	2148	1373	857	981	924	1843	1079	2718	2426	4728
1673338	1387	1018	1798	1597	898	1249	916	1279	1153	997	868	1607
2739701	1198	976	1389	1806	1096	1540	910	1940	1256	1595	1252	2534
920403	1130	879	1519	1521	932	1238	904	1326	1080	973	917	1442
1992986	5338	3640	6321	2300	1801	2339	903	1267	613	1725	1584	1980
919634	5145	4327	7168	2506	1748	2456	900	1638	761	2087	1970	3252
2485630	4083	3554	5436	2301	1757	2124	900	1380	733	1642	1745	2656
968129	1156	924	1507	1214	793	959	890	1176	1274	847	889	1273
52778	1222	893	1572	1531	724	958	883	1426	1068	1480	1206	2375
4080577	1342	867	1279	987	538	749	883	1142	1092	788	611	1096
1383196	1440	1041	1657	1667	920	1347	883	1392	1187	1108	1148	1608
2672882	1316	961	1459	1475	830	1187	877	1242	1137	1146	931	1431
188678	1192	921	1537	1549	816	1083	871	1283	1124	1121	867	1593
1265495	1422	1124	1801	1640	956	1396	868	1364	1054	1163	1104	2005
4260926	2676	2118	2968	2631	1765	2178	859	1170	838	1493	1371	2010
2095034	1483	1290	1730	1743	1041	1251	858	1027	1265	691	747	1022
428379	1144	1127	1618	1546	914	1285	854	1390	1064	1227	1100	1947
3784021	2322	1554	1817	1808	1359	1337	841	1392	822	1533	1250	1949
467144	3768	2657	3118	2346	1864	1870	832	1398	803	2172	2096	2595
914336	1294	1070	1467	1349	1012	1215	827	1169	1017	937	995	1287
1329789	1097	719	1334	1376	828	923	818	1382	914	734	765	1118
3552127	1175	885	1427	1388	788	1111	817	1268	1076	995	819	1392
4112924	1291	1126	1680	1402	782	1104	811	1377	935	966	821	1660
964672	1276	815	1272	1552	844	1124	809	1339	1100	999	905	1359
3300551	1070	787	1378	1248	810	1024	806	1171	1050	893	762	1403
2617139	925	717	1063	1208	596	923	788	1060	910	722	725	1118
3808390	976	748	1308	1108	680	856	782	1084	992	857	755	1192
3810339	1247	1021	1394	1428	750	1004	774	1214	1023	900	784	1447
4333958	1249	1003	1687	1310	723	949	767	1089	809	1063	1051	1512
2955678	959	698	1291	1049	651	922	759	1118	784	968	667	1216
2538578	466	333	550	872	586	807	750	927	881	546	274	390
1483573	1034	805	1353	1069	702	903	749	1049	925	906	680	1294
3591177	1514	1115	1641	1770	1099	1415	744	1219	999	973	902	1577
2614020	529	448	654	470	284	340	739	905	844	295	247	489
2573244	965	719	1063	1081	661	942	733	912	770	863	627	1239
633630	950	642	1167	1046	753	795	729	1089	760	787	814	1144
2746315	1373	965	1615	1534	789	1272	719	1432	1025	1027	894	1445
3453237	1099	849	1427	1364	667	978	716	1134	996	960	881	1478
2117854	829	764	1208	1186	729	980	714	973	882	859	685	1221
56138	1437	1010	1793	1577	920	1184	706	1162	1086	892	865	1364
1485908	983	662	1322	1262	689	1165	701	1011	722	725	640	1216
541978	904	703	1141	1078	499	713	700	1036	850	764	709	1422
2247124	846	633	989	1044	513	675	692	980	812	680	613	981
2951186	1013	735	1158	1090	721	956	686	958	929	828	587	1260
938003	925	723	1094	1031	666	776	683	1024	838	691	1020	1122
1956133	1049	799	1203	1205	696	952	682	946	837	769	588	1010
1753037	1090	901	1420	1159	701	980	677	1108	882	806	816	1232
1672605	843	691	1138	1074	547	917	674	876	863	820	684	1016
1269746	904	789	1334	1090	747	963	674	864	761	811	502	965
377477	834	661	1032	887	534	850	662	1039	822	764	655	1032
3617373	799	704	1066	992	535	733	640	976	775	710	636	1041
1201445	860	776	1156	916	622	867	628	951	854	670	751	1093
1130322	1169	896	1500	1112	656	916	627	890	765	816	699	1301
3382950	422	285	427	371	209	339	606	862	527	345	271	522
4188521	885	642	1063	938	574	790	603	947	735	715	603	1088
29758	1165	861	1330	1737	1025	1408	603	1135	875	1497	1157	2514
781295	840	812	1180	990	619	868	602	899	718	615	570	1128
2689383	837	724	1004	754	620	863	597	835	740	786	561	981
2185567	911	669	1145	1134	629	815	584	840	780	800	747	1013
3287661	1439	1175	2001	1372	863	1063	573	904	676	995	1100	1522
1286830	764	592	884	1009	526	809	566	804	713	750	561	1003
2381819	620	557	733	969	717	917	560	737	807	630	637	1022
1122067	773	659	1079	910	584	613	560	954	600	522	563	978
335697	1000	633	1032	722	559	734	558	862	681	595	466	679
1503175	1213	882	1429	1195	739	1037	555	875	792	815	700	1187
1704897	679	485	833	640	442	652	552	665	702	553	515	815
782053	854	654	1163	1003	606	769	551	899	791	657	572	1009
704761	862	612	990	929	646	713	551	942	713	665	416	1026
3006861	939	624	1109	971	633	790	546	765	587	647	475	818
2996774	1256	1002	1555	1102	509	815	545	724	417	1384	1061	1930
426801	722	550	899	908	479	686	542	899	683	626	550	921
3660730	755	678	1018	915	473	721	542	760	568	654	667	880
3397057	2899	2440	4027	897	826	935	538	800	377	1213	1091	1689
623870	645	491	748	496	289	415	533	696	601	474	346	588
3880230	818	698	1189	1062	666	741	527	923	798	628	633	1057
3541622	598	561	748	735	428	538	525	782	582	500	508	836
1841938	715	589	879	767	517	728	520	806	650	551	397	794
563840	612	559	1019	683	482	554	514	726	587	489	406	651
4107733	700	562	885	673	479	573	503	742	643	522	455	857
2171595	702	551	823	800	459	652	501	725	672	641	490	791
2355842	802	580	940	902	498	674	497	710	593	584	464	832
742056	624	597	627	670	400	507	488	572	435	462	625	675
3511066	165	104	148	220	104	156	484	1275	416	341	166	534
1377228	546	449	732	591	433	455	483	368	642	272	359	270
1112472	752	609	849	881	523	749	478	634	635	530	403	799
2793081	2455	1562	2619	1205	673	1072	477	893	254	1274	856	1219
3878503	774	555	773	718	402	644	476	701	573	533	585	764
185977	693	550	751	644	493	550	475	607	591	476	570	733
2177601	660	512	890	854	458	614	466	662	524	552	463	811
1823993	996	730	1102	896	523	664	464	664	444	815	568	1054
3981058	553	585	653	729	364	525	461	822	514	537	427	830
977890	692	514	685	744	475	654	458	654	546	585	536	821
2008841	945	781	1140	909	471	833	453	696	649	662	548	861
3194888	717	481	735	765	359	711	450	659	460	564	341	688
1385012	650	380	764	738	364	515	450	656	528	476	543	649
812081	653	539	819	894	464	587	446	787	616	601	504	944
2140488	547	496	813	788	447	606	443	653	614	598	450	804
2672268	532	471	704	610	359	522	432	569	486	508	540	610
2558270	587	438	639	668	350	542	429	682	583	476	310	547
3661541	2582	2215	3503	1276	1003	1290	428	730	360	975	906	1411
3808131	656	470	778	573	311	417	425	620	576	330	343	611
3065026	430	374	657	531	347	388	424	572	431	378	278	430
293644	2750	2226	3409	971	807	779	423	718	375	1280	1505	1475
659040	584	468	714	852	384	559	418	665	536	554	430	878
3384585	750	479	917	749	539	592	418	679	569	519	444	766
2222714	609	473	708	830	412	628	416	640	467	525	492	631
3893411	1985	1679	2617	949	650	885	403	661	307	881	751	1255
3904436	701	521	952	809	419	540	398	699	484	596	473	825
1162608	1006	964	1386	1714	1252	1639	395	695	417	845	1162	962
4211810	432	460	619	594	347	434	392	493	449	421	454	620
3601367	644	414	563	710	356	510	386	628	471	404	412	538
3452716	474	494	726	571	352	517	386	522	549	413	416	642
2113485	570	418	783	538	413	448	386	624	522	467	422	687
3759051	1154	901	1640	1396	771	1025	385	474	404	825	611	1448
1947029	586	375	569	646	398	481	380	539	416	479	557	538
416556	793	527	894	1274	751	1011	374	644	480	1205	893	1764
1986270	576	501	790	677	380	541	368	495	479	457	544	648
563531	527	311	742	560	342	551	367	520	485	406	396	506
2395186	384	323	537	575	353	427	364	488	433	486	369	526
4010914	585	425	563	556	389	471	352	535	493	390	308	608
3628612	1817	1526	2390	923	615	747	348	612	326	779	819	1106
2873603	444	372	543	499	273	387	344	463	406	320	339	475
3816112	648	539	854	692	537	598	342	710	523	516	715	572
2691050	434	386	515	346	217	301	342	537	329	664	605	981
1353017	659	455	750	388	279	314	334	566	374	482	422	979
3872597	517	405	547	646	300	456	331	518	370	434	385	689
2625173	327	291	414	470	173	309	327	467	359	399	299	538
4386030	325	252	430	291	165	247	324	549	420	292	287	673
275407	394	385	489	491	269	389	324	435	474	378	350	568
1809549	563	508	790	714	378	475	317	497	499	487	409	635
1979872	398	380	546	532	291	366	316	410	371	334	402	483
4353987	431	319	529	570	235	374	314	449	376	342	269	424
3232048	1303	1307	1808	809	518	683	314	592	257	745	760	1157
293845	556	409	561	329	281	284	312	655	375	823	706	1299
194254	433	317	529	547	268	447	309	475	418	275	438	602
1115909	479	274	513	422	327	478	305	439	368	282	245	495
327763	294	308	390	412	218	293	303	373	287	253	263	401
2956646	428	366	382	421	296	375	298	410	329	403	240	414
2367683	56	41	76	111	40	73	294	1102	347	125	59	297
1671617	460	379	629	467	283	334	293	413	356	342	246	427
2416050	588	418	694	487	342	416	292	525	326	339	260	292
1613115	437	308	493	584	301	460	292	398	328	314	211	473
678824	1544	1265	2029	851	613	681	290	527	295	888	758	1071
2128372	423	356	599	559	318	434	289	460	388	402	307	464
2152185	615	527	849	471	283	442	288	464	364	512	539	619
1036872	454	345	488	535	317	417	287	487	472	308	295	532
2915821	305	234	341	418	210	314	285	461	329	249	228	399
1095247	422	322	513	684	310	423	281	380	387	342	263	464
2932971	386	337	456	662	294	453	280	321	371	349	273	465
2758543	361	310	501	312	228	285	276	383	328	280	238	442
670841	320	262	471	396	240	373	272	494	349	327	211	416
1107547	1326	1085	1727	628	436	560	271	389	215	571	499	876
2577206	393	294	443	526	260	401	270	439	367	314	491	573
2179565	443	344	549	644	298	391	270	491	373	371	345	494
1900096	286	271	278	151	99	173	270	376	245	361	307	863
965200	295	201	439	432	227	249	269	336	214	240	196	180
2129192	266	193	389	375	205	273	263	286	239	256	178	380
1467752	373	331	497	471	238	393	263	401	331	306	240	435
2954107	291	295	399	431	241	262	260	382	319	333	208	389
4234229	392	309	502	458	243	440	258	408	347	355	240	465
4205816	977	800	1476	513	423	590	256	559	229	663	518	683
671567	397	257	464	404	198	337	255	342	296	262	334	396
4114274	335	293	390	362	219	363	255	405	323	285	341	434
544814	316	274	423	370	250	312	254	315	305	358	252	478
3033487	291	207	473	301	308	204	254	326	292	264	111	382
1274483	381	285	440	324	266	354	254	322	272	263	217	393
4176148	280	340	357	387	222	279	250	414	319	307	245	272
357646	953	729	1137	459	408	516	250	412	245	568	530	651
2228857	543	338	538	639	285	479	250	472	375	353	311	569
363768	440	328	526	464	321	409	247	482	362	402	254	507
1917266	297	234	399	371	212	320	247	341	265	266	348	383
212680	1225	1107	1636	548	442	556	246	389	189	522	542	845
3395716	1177	1117	1905	553	381	523	244	377	213	614	517	929
486756	226	244	389	351	204	304	243	336	303	256	252	419
429069	277	269	347	371	185	249	243	351	344	251	235	342
3085946	337	263	456	424	253	280	241	354	289	325	197	342
502018	318	204	342	388	212	267	238	444	258	185	260	414
3600452	423	316	531	520	261	410	234	437	344	390	292	505
2710390	294	206	390	384	208	286	233	350	278	256	233	345
3130753	1364	1056	1802	705	397	618	231	370	201	537	531	833
1618893	1040	644	1190	416	391	459	231	376	158	598	557	820
2111884	443	291	490	363	235	290	230	310	215	316	352	432
3100300	235	197	381	224	189	284	228	333	245	228	180	321
1970361	255	156	313	337	192	267	224	412	250	262	176	327
1825190	196	153	231	245	149	215	224	341	297	200	137	259
165027	324	211	344	391	198	281	224	339	273	287	169	371
3041842	319	237	333	312	139	265	222	376	159	159	185	309
1703520	262	215	347	312	168	233	217	333	315	218	168	329
1936576	363	252	405	430	251	386	215	351	335	340	299	412
4264630	1191	1048	1548	431	329	321	214	283	167	452	423	728
2752591	211	188	334	389	171	219	214	276	261	254	181	495
3912257	408	346	443	313	183	304	211	317	260	401	242	456
1974503	313	207	366	337	195	292	210	331	241	305	232	301
4203270	293	215	421	357	231	253	207	323	249	255	174	327
2553261	304	236	331	369	150	227	204	297	286	226	209	301
2194075	149	153	211	164	116	145	201	240	211	385	320	564
2598324	1041	902	1447	379	334	350	200	218	133	424	544	559
2596721	216	184	287	291	180	229	194	233	222	199	225	286
2664813	336	244	294	290	175	249	192	310	237	227	244	313
3643500	566	420	622	269	166	271	191	255	187	297	245	495
564035	320	216	494	334	222	237	190	436	280	383	206	346
2157218	238	230	267	302	163	259	190	252	240	228	180	257
2858484	729	539	857	407	253	285	189	245	141	449	428	462
2425056	208	211	325	304	219	229	188	236	234	184	167	291
1949628	442	334	595	267	214	254	187	270	87	337	92	295
1058546	408	401	503	350	230	261	187	81	154	191	199	336
2987235	217	123	291	280	121	212	186	301	235	229	329	331
3039245	214	163	331	259	178	201	185	278	156	176	125	250
1156869	275	201	258	362	162	252	185	252	262	224	165	316
2396327	175	104	227	215	122	163	184	246	181	143	202	221
363822	262	176	212	262	116	203	182	265	214	165	237	272
3265049	383	277	417	436	219	292	181	199	189	386	407	723
4337024	733	651	966	374	259	358	180	233	153	458	360	603
3111844	219	209	303	291	149	256	180	238	209	175	208	263
172996	253	204	259	256	189	261	180	348	318	264	165	331
1211240	863	641	811	398	346	426	179	311	183	411	343	547
520139	740	663	966	418	399	457	177	309	155	467	420	632
3692498	366	281	409	404	230	311	177	269	220	284	390	489
1195380	182	143	220	176	131	168	177	472	229	116	105	336
3405708	779	727	1135	435	324	444	176	284	177	461	386	594
3696188	205	164	298	341	156	208	175	220	197	187	207	279
595500	242	186	200	273	102	226	174	276	229	217	213	264
1972550	221	191	290	278	164	225	172	209	202	197	191	267
3113798	227	159	276	297	164	270	166	226	203	212	229	295
2488989	200	160	302	204	128	222	165	165	171	150	116	189
1737834	191	170	334	276	137	210	165	242	219	205	166	250
2361600	715	607	1008	278	264	339	164	232	103	340	298	474
2194032	140	123	204	174	95	174	164	248	205	295	274	391
2261105	172	137	217	244	133	149	162	231	163	123	186	217
1985987	225	197	284	229	139	167	162	237	182	126	110	243
416037	209	199	286	418	290	344	160	195	153	247	239	589
386195	278	146	334	302	166	234	160	315	247	231	177	330
2620357	215	198	286	283	160	238	160	208	218	198	207	288
1368006	256	176	210	295	184	194	158	207	185	215	125	228
3892173	737	674	1014	356	232	314	155	218	98	318	257	430
3107016	214	176	282	291	167	245	155	257	209	191	214	270
427949	263	203	323	259	134	177	154	275	178	181	166	317
1028483	160	130	200	208	112	187	154	266	197	156	262	259
888916	212	184	295	299	184	235	152	222	198	218	198	276
332328	221	178	315	241	132	196	152	259	196	159	207	255
1073670	229	189	265	302	160	225	151	245	200	190	207	259
752504	655	544	872	472	304	363	149	257	128	447	364	565
3289865	362	279	428	339	219	244	149	257	195	317	354	403
669151	206	185	350	241	147	189	147	263	232	228	139	245
169249	237	137	246	249	157	182	145	202	153	188	115	289
3647416	60	46	75	41	19	38	143	108	127	32	23	80
753609	140	102	164	33	25	25	141	338	113	457	288	503
483879	220	175	291	299	165	220	141	238	199	202	193	297
4155397	209	126	224	237	107	142	133	223	159	152	108	267
1934636	191	178	269	291	143	223	133	226	223	194	198	266
4213794	644	520	711	254	218	218	132	173	115	209	218	297
1229172	634	481	716	306	231	302	131	255	147	350	267	451
3293030	583	463	859	257	197	206	129	192	100	252	215	386
3119195	117	113	228	179	102	180	123	114	138	136	85	171
3502406	342	298	447	226	146	194	121	336	114	259	234	417
170585	623	488	839	200	158	254	116	228	114	248	204	300
1976177	163	138	160	175	95	147	115	136	121	129	114	194
4329927	137	115	188	198	97	138	113	171	141	175	193	227
1823458	260	200	307	282	181	208	113	184	148	258	228	288
275941	141	75	125	100	72	108	112	86	92	87	141	129
3838953	169	115	166	141	92	106	111	121	157	101	69	158
3064092	226	225	378	125	151	154	111	153	72	152	295	255
2526133	630	554	745	333	201	289	111	177	93	285	202	294
