TA	6-10_SP_Input1_S13	6-10_SP_Input2_S14	6-10_SP_input3_S15	6-10_SP_ctrl1_S16	6-10_SP_ctrl2_S17	6-10_SP_ctrl3_S18	6-10_SP_CI1_S19	6-10_SP_CI2_S20	6-10_SP_CI3_S21	6-10_SP_RI1_S22	6-10_SP_RI2_S23	6-10_SP_RI3_S24
3117084	2880	2868	2454	2114	1727	2672	1282	1830	1476	2192	936	1947
2529897	2900	2598	2610	1592	694	1682	1338	457	760	1990	1752	898
2848657	2935	2883	3615	3138	2539	3760	3752	4668	4159	6798	4868	6433
518722	2943	3115	3035	2165	2337	2432	1025	2408	1418	4323	1670	2478
361099	2944	2862	3630	1691	1263	1785	1488	1174	1301	1992	1820	3116
3883460	2944	2466	2576	1937	1980	2025	970	1236	1154	3352	1174	2051
4121427	2948	2968	2746	2176	1303	2262	1354	1459	1549	2467	3916	2219
3894597	2967	3036	3311	1931	2791	2181	998	1258	1287	2203	1197	2113
2224949	2994	2939	2726	1847	2255	2342	963	1289	1475	2199	1291	2906
2616472	3010	2870	2851	2173	2041	2606	1570	1586	2011	5071	1690	2166
1169864	3012	2697	3221	2088	1984	2468	1061	1841	1596	4396	6007	2440
1992002	3019	2980	2308	2643	3068	2273	1453	1424	1301	3656	3744	2867
2719135	3023	2781	4807	4219	2779	4341	4582	4327	3658	3290	2330	4049
3616484	3024	3203	2859	1443	926	2080	903	945	1127	605	2051	1550
999937	3038	2798	2913	2406	2056	2857	1418	1483	1670	1898	1417	2131
1556963	3038	2857	2157	1536	1550	1281	890	746	1013	1972	3778	1055
1180328	3062	3080	3708	2443	1549	2243	1354	1584	1482	2697	2024	2361
3745634	3133	2928	2779	1915	1540	1901	903	1805	1150	4803	1294	2471
2365325	3136	3171	3914	2013	1922	2346	1062	1485	1704	2228	1563	2196
10827	3138	2990	2537	1785	1591	1997	1083	1791	1195	1191	1153	1572
2267517	3140	3332	3116	2600	2006	3060	1415	1390	2029	1177	2026	3234
3288701	3168	2798	2775	1745	1221	1926	803	1198	1276	2106	910	2677
1036878	3172	3415	3140	2289	1945	2718	1185	1235	1447	2370	2601	3903
1810286	3188	3081	4375	2175	1618	2866	1318	1243	1412	2224	3035	2214
472897	3197	3355	2520	2491	2319	2766	1150	1773	1531	2374	3059	1844
2694708	3207	3274	2912	2783	2378	2890	1552	1860	1582	2545	3736	4187
3231058	3220	3002	3351	2645	2499	2787	1161	1818	1729	5286	2941	1967
4353344	3227	3415	4417	3035	2962	2919	1907	1959	2030	2102	3299	3255
3857480	3235	3303	2588	1922	2656	2252	958	1497	1225	1954	865	1466
2999356	3245	2954	2875	2152	2849	2515	1217	1643	1129	4890	1765	4821
2220782	3252	3564	4075	2288	2923	2828	2270	1990	1790	2502	2265	2223
2625330	3257	3263	2880	2160	3458	2312	1185	1096	1117	2626	1900	2438
470487	3285	2966	2797	1970	1920	2342	1149	1654	1297	1183	851	1460
2760896	3318	2958	3045	1955	2123	2019	850	1396	1351	2514	2479	2034
1095948	3335	3097	3366	2762	2990	3130	2323	2649	2531	2561	3403	2708
2669823	3339	3510	2803	2188	752	2774	1238	1794	1696	2133	865	2447
2217380	3340	3236	3870	2086	2390	2184	762	1317	1763	1939	1605	2466
3233470	3396	3334	4118	2191	1847	2608	1754	1544	1528	2254	5328	3056
1728832	3426	3567	3632	2781	2455	3570	1472	1921	1970	4798	2914	3616
3300006	3540	3734	5098	2862	2204	3095	1602	2146	2155	2336	1537	3134
2089707	3575	3703	4871	2456	3262	3896	1981	1952	1934	5713	7139	5891
1141806	3575	3811	2679	1835	2315	2260	1086	1804	1736	2936	2504	2377
1059047	3596	3333	3136	4776	3805	4930	5959	4368	6149	2756	4241	1793
3287693	3606	3698	3984	2709	1765	3055	1646	2121	1986	3549	2618	5068
1089398	3656	3339	3603	2478	4882	3074	1960	1882	1708	2947	1723	1689
2570347	3676	3679	4266	2533	2144	3134	1215	1744	1335	3754	3078	2566
4271174	3677	3433	3014	2224	1596	2597	1232	1492	1515	2467	1892	3262
3505861	3734	3730	3196	4497	3735	5146	6846	8856	6795	5119	4410	4652
1614396	3839	3806	4363	3002	3235	4046	1421	1417	1784	5368	3669	3246
600719	3852	3935	4136	2539	2102	2970	1886	1704	1749	4663	1886	3896
1037091	3853	3995	4005	3330	2916	4399	1140	1365	1489	2722	5824	3373
96839	3878	3583	2721	2360	2108	2482	1378	2115	1416	2812	2881	2085
2179058	3882	3464	3386	2283	1743	2691	964	975	1030	2094	2165	3696
3911496	3907	4112	4564	2591	2248	3330	1183	1759	1583	2120	2587	2149
2922339	3925	3732	4930	3333	3734	3637	1604	1977	2332	3952	3882	3446
3290723	3936	4038	3838	2075	1859	2416	1777	1739	1573	3605	1334	7333
614583	3953	3918	3675	2460	2818	2872	1147	1726	1685	2765	2562	3275
3495004	3956	3759	3498	2755	2430	3221	1802	2585	1903	2561	1186	4579
3978784	3976	3658	4141	2510	3008	2799	1828	2092	1648	2912	1210	2769
769424	3980	3634	3692	3233	2997	3306	1740	1826	2213	4608	2677	2287
2545825	4049	4024	3925	4307	3825	3947	4587	6396	4790	3046	3247	2403
3208538	4103	4497	3788	5609	6042	6105	8292	10291	8338	6636	4150	9692
2366068	4123	3976	3702	2576	2019	3102	1367	1347	1895	2666	2435	2487
1701688	4135	4331	4802	3239	3030	3767	2068	1823	2280	2818	3965	4566
35892	4146	4033	3985	2952	2316	3215	1969	2433	1884	3024	1645	3365
1484900	4209	4253	4074	3429	2939	4041	2796	2716	2444	3678	4182	4380
1297682	4269	4360	5144	2859	2539	3477	1436	1640	2181	3212	6095	4543
843956	4290	4159	4641	2714	3753	3130	1970	2689	2067	2573	2378	3469
1835549	4328	3919	3461	3659	3543	4746	2358	2730	2615	3189	2457	4613
2415540	4335	4431	5674	2546	5722	3198	2688	1608	2345	4035	6735	4286
4036726	4352	4652	5594	6543	3421	7167	4539	3593	3420	3240	2942	5846
3868807	4369	4544	5552	4293	5741	4960	3382	5260	3932	4654	5220	3600
3563856	4404	4607	3762	3694	4323	4084	4040	4407	4725	3915	1986	2212
939677	4405	4567	5091	3801	3586	4055	1923	2678	2478	3777	4102	4643
4171852	4419	3979	3482	3574	2608	3659	1828	2717	2274	3375	3953	3672
1772369	4430	4501	5308	4223	5733	5005	3222	5268	3938	4601	5217	3645
565267	4443	4155	3873	3644	1496	4238	3520	2958	4524	3387	1949	4733
103182	4466	4636	5487	4359	5844	4972	3394	5390	3991	4642	5219	3520
661116	4471	4185	4689	3504	4218	4440	1743	2591	2343	3723	2256	3148
3513262	4475	4477	4267	7023	6350	8068	12409	14970	12237	7124	4591	8441
3846857	4496	4354	4867	3407	4913	4273	1763	2094	1973	3030	7068	2851
4037987	4503	3656	3533	3356	2433	3852	2032	2188	2117	4025	2873	4686
2236770	4518	4305	3384	2560	1499	3161	1278	1638	1987	2474	1198	4058
598303	4569	4184	5288	2068	1442	3007	1446	1862	1483	1899	2128	7070
222053	4675	4350	4313	2905	4238	3208	1386	1966	1891	1928	2785	2311
306447	4677	4253	3804	3041	5391	3586	1685	2760	1755	3039	6260	3211
2799364	4755	4511	4109	3249	3380	4127	3734	3231	2628	5605	5703	3927
3540298	4756	4589	4917	3680	2624	3595	1852	2144	2421	4305	1798	4731
2646637	4772	4325	3268	4973	6318	5070	3172	4093	3831	2775	1238	2019
2915215	4773	4809	3543	2701	2256	3333	2065	1993	1832	4267	5331	3167
81636	4792	4898	5149	3480	3152	3961	1930	2230	1851	2607	5256	3676
3529028	4809	4732	4412	2990	3320	3264	1607	1961	2288	2841	6505	2720
2258319	4824	4427	2655	1979	2504	2422	1325	2071	1905	3857	4986	2304
3272180	4843	4783	5479	3359	3243	4047	2213	2522	2606	4227	3649	3225
1970226	4845	4597	4628	3178	3529	3901	1773	1950	2032	3167	3550	3250
2543688	4865	4955	5259	3410	2956	3788	2244	2510	2166	2501	2942	3639
4267800	4872	4765	5188	3440	2792	4262	2031	2906	2400	2509	3848	2585
2262379	4901	4930	4857	3186	4320	4682	2043	1830	2388	3423	6430	5945
1627471	4928	5442	5440	3483	7022	3708	2212	2484	2687	3510	4152	3656
57027	4941	5004	5006	3832	4020	4870	1840	2734	2816	4224	7067	4703
1631060	4988	5189	5351	3494	6789	3754	2300	2488	2619	3364	4190	3723
528011	5042	5255	5428	4998	4037	6044	3770	3827	3263	4604	3992	5543
1194863	5069	4808	4562	2259	3159	2124	2743	5397	2878	513	970	948
155080	5079	5050	5947	4356	4180	5439	4919	5210	4782	11022	4184	4686
4140030	5090	5021	5522	4366	5067	4093	2251	2806	2806	7769	4888	4771
991144	5111	4784	5692	3575	2567	4630	2026	2765	2396	3604	6074	5308
2048364	5132	4817	5507	6236	3779	6042	4973	6497	5537	3940	3351	3654
2857983	5168	4600	5282	4140	3008	4950	2427	2384	2903	2186	5121	3133
542160	5241	5142	4929	9484	6891	9779	6055	8188	6866	8570	7731	5715
2612938	5253	5583	6013	6970	6566	8058	8415	8733	8413	7671	5325	9625
120902	5287	4928	3571	2265	1886	3334	1458	2157	1725	4317	5078	2531
3404052	5297	5239	5625	5003	2847	5300	3265	2429	3127	3872	3557	4120
1170253	5332	5724	5137	4117	5452	4554	2217	3639	2530	3730	2651	4633
3162583	5469	5411	5734	4186	4367	4625	2186	2792	2695	3417	5321	4858
2360330	5482	5538	4514	3630	2156	3752	2303	2772	2253	3013	3734	3813
3287069	5494	5168	5425	3406	2514	3819	2587	3028	2506	3176	3915	5071
3662309	5570	5461	5905	4771	5277	4746	3423	2596	2625	5038	5354	3531
2617270	5583	5199	4309	3141	2984	4097	1888	2502	2404	5514	3063	4669
849991	5621	5721	5430	4867	4560	5663	2309	3768	3437	3752	8178	4653
37342	5728	5019	5828	3894	4289	4405	1921	3053	3041	3538	4418	3156
2307372	5818	6242	7091	5278	8497	5243	4369	2737	4130	4806	6345	6068
3298646	5833	6036	8772	6685	7524	7870	6324	8068	8301	7933	2913	8551
4017382	5836	6101	5222	4916	6919	5309	3139	3730	3716	2666	4463	4132
609118	5882	6028	6118	6047	9680	7307	5122	6691	5634	4866	3511	4333
2597183	5964	6199	7720	4716	3026	5649	2558	3049	3436	4481	6642	4920
1523001	6004	6333	5869	3764	3603	4249	2636	2439	2654	4377	7192	3846
401534	6008	6113	6065	6080	9244	7061	5179	6576	5812	4891	3590	4339
539305	6010	6093	6182	4327	4777	4341	2471	2872	2802	6527	5642	4750
878246	6014	5640	6385	3978	3380	4535	2069	2684	2787	6007	2714	4631
3004201	6093	6292	4342	3038	2585	3121	1972	3044	2104	2516	4083	2160
1707205	6144	5946	6296	3986	2413	4586	1934	2872	3203	4160	2421	4486
2015880	6156	5801	7409	4480	3988	4754	4342	2961	2663	5331	3200	5792
1880994	6169	6215	5384	3713	3501	4419	1870	2551	2325	4304	4303	5014
3396194	6284	6129	6537	3886	2861	4023	1854	2460	3026	3499	3150	6045
3776047	6417	5979	6405	5039	3970	4930	3063	3213	3165	4242	8722	5405
1151293	6444	6513	6402	4572	3575	5244	2763	3800	3075	3659	6725	6056
3529281	6591	6211	5730	3724	3290	4239	1956	2480	2656	5335	9896	5409
3034326	6620	6094	6942	5454	10587	5351	4437	6350	4840	3459	2102	3873
1072544	6684	6388	5717	4634	3034	4500	2052	2948	2611	4367	8167	4434
3414232	6751	7048	6537	4944	5842	6316	3026	3848	3576	7370	5388	8358
2792810	6871	6906	6193	6375	28661	8351	6808	8485	6575	6750	5094	4049
3556706	7004	6945	5355	4001	4301	4644	2456	3064	2791	5495	8441	4169
561714	7055	6861	6068	3602	2797	4764	2156	3038	2984	5882	6625	6187
412345	7167	7125	9209	5772	6368	6627	3526	5272	3574	7273	3701	4599
3042179	7244	7100	7295	7429	20938	8543	6724	8050	6837	6084	6835	5836
4340015	7418	7478	7912	6701	11544	7705	6098	8547	7266	6982	3335	3660
1633799	7562	7616	6818	6979	7844	7709	3655	4516	3940	8309	7057	9818
1949628	7674	7916	5267	5990	10279	6693	5200	7394	4734	3196	11179	3021
2071481	7873	7410	8846	5801	5366	7064	3462	4753	5251	5804	3401	5101
68718	7990	8021	7586	5225	5825	6116	3632	3473	3572	6548	4566	5478
1694562	8130	8318	9217	7036	7854	8210	5150	5305	5960	7033	5169	4582
383081	8145	7592	7234	10557	11812	11000	12503	12688	12835	6081	9427	7144
1380585	8556	8161	7552	5241	11427	7721	4542	7328	2244	8374	8780	5934
473030	8587	8457	7306	7443	10529	6741	7142	7423	6450	4661	7277	3010
2381470	8656	8723	10420	8134	23782	10972	7760	7707	6202	6848	11797	3386
3897747	8690	8785	6906	5411	5637	7318	4604	5147	4450	5650	7605	5786
4182316	8870	9010	9529	5609	8206	7336	2928	3465	2766	5304	9093	6105
3635229	8964	9123	10272	6161	7449	6331	3602	4435	3404	4145	8759	8907
1165977	9026	8915	8548	6814	5774	7806	4824	5608	5066	6395	4625	6706
3549678	9053	8968	7436	7980	8551	7315	7565	7797	7406	4937	7951	3380
851951	9463	9609	9352	69328	104361	75359	6071	5738	4489	22495	19766	18116
3780915	9502	9577	9557	6893	8209	7924	4026	6018	5380	7947	6887	5721
1054817	9552	9517	10031	9601	9503	9598	9393	11212	9749	7008	3762	4724
3444417	9571	9019	7605	5749	6515	5853	2129	3424	2813	8366	11680	4352
551129	9581	9375	9706	5766	6797	8450	3925	3438	2849	4611	10988	7464
3033472	9593	9329	8082	7181	14484	8714	3785	3819	5257	6143	8940	6753
850272	9630	9245	8195	8374	8451	10775	6737	8366	8267	7616	14118	8882
625540	9647	8975	10860	9498	34183	13578	8486	11155	9068	9829	6436	13110
4172093	9783	9373	10234	6828	6907	7486	5251	5354	5426	8636	3517	5706
2001676	9799	9526	11294	11031	16487	12084	13363	12263	8728	5410	13357	15567
2617328	9886	9283	8190	8862	9379	9913	8040	10341	8676	11846	3542	4824
2164617	10030	10028	10481	7067	6808	8363	4937	6409	5579	8631	6674	10423
3954850	10115	9857	8151	6342	8459	7779	4851	7791	6352	6348	9462	6363
3939606	10179	10293	9413	9061	9961	9278	8659	10738	8493	7834	9104	10177
2575482	10246	10498	10190	12444	15175	14532	12072	16503	12770	8886	18862	12392
