TA position	Plate	Row	Column	Well Hits	Location	Annotation
3920923	4	H	7	1	gene	ID=gene3847;Name=ERDMAN_3848;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3848
4307954	4	H	8	1	gene	ID=gene4226;Name=ethA;gbkey=Gene;gene=ethA;gene_biotype=protein_coding;locus_tag=ERDMAN_4227
4049408	4	H	9	1	gene	ID=gene3972;Name=ERDMAN_3973;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3973
4367556	4	H	10	1	intergenic/unannotated	NA
975010	4	H	11	1	gene	ID=gene970;Name=PPE13;gbkey=Gene;gene=PPE13;gene_biotype=protein_coding;locus_tag=ERDMAN_0971
2155273	4	H	12	1	gene	ID=gene2109;Name=PPE34;gbkey=Gene;gene=PPE34;gene_biotype=protein_coding;locus_tag=ERDMAN_2110
218926	5	A	1	1	gene	ID=gene212;Name=ERDMAN_0213;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0213
256958	5	A	2	1	gene	ID=gene240;Name=fadD4;gbkey=Gene;gene=fadD4;gene_biotype=protein_coding;locus_tag=ERDMAN_0241
909944	5	A	3	1	gene	ID=gene900;Name=ERDMAN_0901;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0901
2628602	5	A	4	1	gene	ID=gene2589;Name=glyS;gbkey=Gene;gene=glyS;gene_biotype=protein_coding;locus_tag=ERDMAN_2590
2381212	5	A	6	1	intergenic/unannotated	NA
900122	5	A	7	1	gene	ID=gene889;Name=cpsY;gbkey=Gene;gene=cpsY;gene_biotype=protein_coding;locus_tag=ERDMAN_0890
3472455	5	A	8	1	intergenic/unannotated	NA
4109976	5	A	9	1	gene	ID=gene4036;Name=ERDMAN_4037;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4037
2250844	5	A	10	1	gene	ID=gene2216;Name=ERDMAN_2217;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2217
925564	5	A	11	1	gene	ID=gene921;Name=ERDMAN_0922;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0922
2075340	5	B	1	1	gene	ID=gene2024;Name=ERDMAN_2025;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2025
3353060	5	B	2	1	gene	ID=gene3293;Name=ERDMAN_3294;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3294
2877818	5	B	4	1	gene	ID=gene2823;Name=ERDMAN_2824;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2824
3198441	5	B	5	1	gene	ID=gene3180;Name=fdhF;gbkey=Gene;gene=fdhF;gene_biotype=protein_coding;locus_tag=ERDMAN_3181
2678098	5	B	6	1	gene	ID=gene2629;Name=ggtB;gbkey=Gene;gene=ggtB;gene_biotype=protein_coding;locus_tag=ERDMAN_2630
3699018	5	B	7	1	intergenic/unannotated	NA
1178460	5	B	8	1	gene	ID=gene1178;Name=ERDMAN_1179;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1179
2800511	5	B	9	2	gene	ID=gene2747;Name=citE;gbkey=Gene;gene=citE;gene_biotype=protein_coding;locus_tag=ERDMAN_2748
2993598	5	B	9	2	gene	ID=gene2951;Name=ERDMAN_2952;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2952
2162338	5	B	10	1	gene	ID=gene2112;Name=ERDMAN_2113;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2113
1834548	5	B	11	1	gene	ID=gene1804;Name=lysS;gbkey=Gene;gene=lysS;gene_biotype=protein_coding;locus_tag=ERDMAN_1805
3273208	5	B	12	1	gene	ID=gene3222;Name=fadD28;gbkey=Gene;gene=fadD28;gene_biotype=protein_coding;locus_tag=ERDMAN_3223
2041864	5	C	1	1	gene	ID=gene1996;Name=PPE32;gbkey=Gene;gene=PPE32;gene_biotype=protein_coding;locus_tag=ERDMAN_1997
3319930	5	C	2	1	gene	ID=gene3258;Name=ERDMAN_3259;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3259
824509	5	C	3	1	gene	ID=gene802;Name=ERDMAN_0803;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0803
