TA	Input1	Input2	Input3	Ctrl1	Ctrl2	Ctrl3	CI1	CI2	CI3	RI1	RI2	RI3
3779268	4669	2820	3268	3467	2562	4108	2844	2844	2962	3735	2532	2520
4038898	4577	2794	3132	3245	2581	4240	2537	2933	2901	3922	2444	2346
3091751	4547	3119	3625	3069	2686	4012	2913	3067	2845	3777	2627	2721
467144	4532	2719	2840	2351	1749	3561	1452	1361	2217	3470	1644	1640
4126777	4530	2802	2873	3246	2462	4021	2670	3171	2997	4043	2785	3080
1037367	4337	2401	2955	3810	3008	4895	2022	1804	2168	3539	1543	1777
3960282	4266	2468	2993	3158	2223	3872	2283	2715	2809	3716	2366	2313
2108331	4223	2626	3271	2968	2195	3787	2376	2729	2551	3543	2295	2226
3893411	4149	2375	3061	2126	1520	2636	1057	1082	1247	1949	850	1068
3617051	4105	2296	2663	3011	2136	3294	2220	2531	2607	3901	2439	2359
3628612	4087	2333	2653	2172	1381	2588	996	846	1093	1929	868	1002
1595770	4062	2537	2834	2864	2415	3958	2558	3107	2887	3765	2594	2539
1404115	4023	2480	3183	3306	2485	3825	2627	3059	2935	3674	2491	2671
2287265	3977	2339	2842	2966	2103	3444	2238	2486	2318	3156	2183	2087
2874816	3922	2248	2728	3311	2206	4207	2621	2772	2652	3422	2443	2621
2016959	3876	2125	2845	3416	2538	4195	3071	3370	3309	7339	5070	5015
4200913	3762	2339	2843	1915	1473	2585	2096	2145	2095	2807	1675	1750
597986	3753	2154	2556	3262	2249	3712	2939	3441	3330	3796	2553	2671
2020083	3749	2139	2752	3483	2472	4195	2787	3380	3309	7473	5084	5098
2513603	3723	2179	2624	2396	1778	3075	2014	2302	1985	2987	1819	1788
1545773	3684	2241	2812	3047	1976	3492	2292	2606	2236	3474	2330	2488
3190045	3675	2229	2602	2435	1828	2896	2142	2255	2358	3221	2278	2147
1911125	3641	2165	2514	2477	2181	3741	2198	2705	2409	3361	2073	2206
3016202	3611	2249	2323	2591	1947	2901	2136	2186	2139	3061	1931	2087
1980338	3454	1940	2307	2445	1604	2905	1780	1989	2061	2704	1722	1739
1774881	3442	2072	2485	2407	1787	3081	1938	2576	2218	3585	2120	2340
2311927	3417	1911	2347	2234	1665	2837	1832	2099	1984	2676	1699	1795
4260926	3411	2523	2477	2805	2069	3143	2438	2492	2701	3326	2445	2265
179898	3322	2044	2484	2197	1695	2725	1853	2184	2192	2848	1810	2045
3497484	3284	1974	2296	2426	1730	2774	2312	3062	2577	3405	2228	2305
2084981	3238	1796	2372	2363	1647	2720	1927	2228	2001	3161	2022	2055
1372751	3222	1874	2328	1975	1451	2446	1827	1962	1766	2295	1536	1553
678824	3195	1703	1953	1429	943	1842	889	839	955	1383	697	775
188774	3188	1904	2286	2384	1724	2825	3771	4352	4226	4552	2915	2839
2527354	3110	2022	2101	2216	1685	2721	1888	1904	1941	2731	1913	1838
3910348	3100	1711	2076	2072	1312	2095	1432	1543	1629	2014	1265	1099
1912778	3088	1763	2201	2427	1763	2721	1773	1969	2073	2945	1743	1793
2868588	3086	1949	2164	2401	1666	2429	2183	2569	2081	3347	2186	2550
1299975	3080	1807	2259	2134	1599	2853	1919	2043	1902	2751	1858	1904
2793081	3042	1413	2124	1478	1049	2278	575	779	677	1088	529	771
2945983	3032	1684	2052	2178	1486	2432	1674	1953	1851	2743	1829	1879
741134	3016	1801	2155	2322	1641	2703	1282	1433	1437	2498	1589	1664
1627370	2898	1646	2196	2245	1402	2653	1588	1877	1596	2356	1560	1790
2459690	2892	1687	1867	1475	1202	1858	1085	1318	1449	2192	1435	1341
212680	2881	1569	1656	1090	911	1568	638	740	819	1195	572	671
3130753	2800	1564	1940	1346	1000	1696	603	723	775	1308	553	742
3722193	2790	1645	1700	1777	1453	2690	1948	2242	2365	3104	1766	2088
293644	2756	1477	1909	1449	1012	1887	646	618	769	1356	626	669
688960	2755	1582	1900	2017	1542	2310	1399	1704	1811	2448	1522	1376
3395716	2730	1679	2038	1276	929	1645	723	704	771	1356	663	743
3817872	2717	1672	2062	1872	1669	2705	2056	2284	2332	3799	2633	2404
2959237	2715	1432	1744	1850	1280	2558	1495	1736	1627	2393	1462	1650
35552	2714	1680	2063	1464	982	2034	1459	1666	1543	2134	1248	1274
1133813	2641	1395	1717	1985	1341	2318	1214	1406	1287	2227	1466	1361
2042532	2636	1514	1963	2273	1575	2434	2619	3264	3240	12555	8218	8115
3190572	2635	1764	2163	1898	1433	2248	1490	1960	1687	2582	1636	1652
1322553	2632	1496	1871	1930	1492	2387	1409	1591	1818	2249	1514	1469
3212311	2627	1489	2008	1772	1496	2390	1605	1742	1600	2519	1604	1666
324385	2610	1625	1836	1617	1140	1905	1297	1357	1446	1986	1145	1181
1682176	2580	1727	1844	1831	1478	2194	1571	1825	1789	2578	1628	1629
1619355	2579	1459	1845	1774	1349	2182	1629	1796	1729	2461	1580	1644
2957904	2578	1525	1793	1735	1225	2123	1662	1870	1974	2131	1231	1268
840317	2577	1642	1569	1522	1420	2446	1570	1705	1619	2494	1485	1647
3843825	2576	1495	1851	1892	1377	2275	1442	1631	1519	2080	1294	1366
3294496	2571	1536	1798	1939	1375	2253	1405	1631	1682	2196	1480	1456
3079709	2570	1571	1732	1739	1283	2141	1442	1517	1587	1959	1430	1264
3287661	2566	1381	1511	1577	1220	1862	1300	1456	1695	1794	1001	1004
2934312	2559	1686	1891	1926	1496	2388	1600	1817	1755	2262	1498	1576
3232048	2555	1342	1735	1292	1029	1634	745	803	918	1333	727	755
4319535	2543	1610	1951	2034	1345	2319	1186	1311	1466	1991	1319	1130
3292491	2531	1651	1744	1663	1355	2242	1925	1836	1819	2329	1657	1678
415544	2523	1412	1646	1741	1279	2175	1420	1627	1670	2417	1493	1491
280014	2522	1527	1647	1700	1268	2193	1728	2054	1806	2863	1988	2004
2195463	2511	1492	1854	2031	1435	2213	1474	1617	1723	2309	1610	1512
3299812	2496	1541	1647	1632	1351	2240	1465	1570	1553	2241	1527	1548
1098309	2491	1578	1772	1690	1116	2117	1323	1470	1337	2311	1408	1308
2679738	2457	1532	1736	1917	1382	2361	1586	1719	1667	2438	1633	1444
1107547	2457	1529	1893	1273	916	1780	683	711	813	1214	586	679
1264437	2448	1508	1781	1870	1240	2200	1416	1784	1433	2094	1382	1621
4009356	2447	1433	1610	1392	1022	1627	1442	1605	1705	3413	2283	2089
1946851	2444	1523	1654	1659	1312	1915	1315	1555	1526	2071	1335	1240
1481260	2429	1349	1625	1761	1269	2077	1362	1649	1538	1985	1365	1429
1349581	2420	1494	1651	1574	1216	2101	1688	1834	1673	2246	1722	1541
1961135	2410	1522	1767	1814	1435	2032	1420	1758	1673	3517	2553	2522
327317	2301	1386	1668	1665	1125	1903	1534	1607	1441	2140	1542	1635
216747	2293	1473	1733	1547	1164	2065	1368	1439	1509	1991	1384	1222
4264630	2282	1615	1611	928	819	1222	526	522	617	848	361	464
4016753	2280	1170	1537	1480	1093	1933	1186	1490	1398	1945	1140	1226
3375165	2276	1191	1500	1572	1147	1737	1124	1356	1365	1777	1124	1108
2916064	2248	1240	1511	1464	979	1765	1405	1658	1632	2228	1460	1287
1887347	2248	1232	1598	1830	1266	2038	1257	1434	1399	2112	1406	1376
1995974	2247	1237	1614	1591	1123	2038	1237	1436	1322	1942	1248	1377
4060554	2246	1252	1485	1450	1010	1882	1360	1492	1570	2029	1316	1232
3591177	2246	1209	1293	1556	1036	1948	1233	1238	1137	1727	1160	998
2996774	2237	1200	1641	998	759	1268	935	892	882	1412	753	777
684232	2225	1432	1648	1779	1116	1986	1254	1479	1353	1940	1343	1304
2195038	2216	1364	1566	1653	1312	1702	1316	1417	1479	2036	1349	1255
3581495	2188	1198	1431	1524	1140	2239	1020	870	944	1916	1047	1157
1725379	2164	1424	1689	1816	1264	2090	1277	1585	1402	2084	1345	1337
754229	2142	1331	1526	1463	1118	1856	1297	1598	1405	2381	1401	1384
3831881	2105	1012	1370	810	592	917	2279	2266	2778	10149	6103	5631
2430562	2081	1316	1546	1603	1181	1847	1341	1481	1350	1957	1303	1506
290267	2079	1228	1472	2141	1339	2292	1647	2160	2083	3770	2464	2553
1265495	2075	1062	1353	1489	970	1785	1210	1391	1209	1784	1228	1236
2993598	2065	1040	1467	1726	1129	1885	1266	1508	1465	1924	1107	1263
193624	2060	1173	1515	1530	1102	1924	1241	1461	1342	1998	1304	1252
4130122	2040	1197	1349	1461	1068	1891	1227	1419	1168	1856	1220	1208
4157703	2037	1110	1406	1410	955	1724	1190	1244	1177	1837	1176	1237
2954815	2017	1154	1283	1234	913	1908	1317	1420	1261	2000	1383	1270
2693143	2012	1170	1548	1396	1018	1769	1086	1333	1141	1712	1068	1022
293614	2005	1154	1520	1333	1004	1647	883	891	1036	1502	839	809
1368647	1998	1269	1501	1827	1411	2634	1155	968	1002	1549	853	968
2214674	1968	1219	1477	1445	1109	1712	1278	1569	1446	1923	1422	1290
575051	1965	1316	1615	1595	928	1881	1239	1649	1107	1651	1206	1382
1482538	1939	1147	1267	1361	994	1743	1008	1229	1350	1896	1167	1184
2105390	1917	1244	1428	1520	1047	1713	1132	1276	1255	1792	1287	1135
1162608	1903	946	1254	1558	1138	1914	441	398	503	647	371	342
3784021	1870	1063	915	1002	860	1885	1607	1526	1901	2877	1466	1584
2958854	1867	1101	1272	1261	1047	1737	1087	1149	1117	1692	1116	1209
596928	1864	1106	1242	1260	976	1510	1098	1195	1194	1787	1230	1083
3991847	1864	1011	1276	1224	844	1452	965	1184	1148	1895	1134	1081
3278613	1853	1037	1350	1268	899	1524	1033	1160	1182	1622	1101	1053
1618893	1841	1097	1321	897	652	1270	530	552	571	951	397	597
1647581	1807	1018	1283	1310	886	1413	954	1151	1080	1650	1147	1061
1502847	1802	1126	1268	1427	917	1732	1096	1260	1205	1886	1130	1297
1040856	1802	1063	1219	1201	1008	1452	1099	1284	1230	1666	1211	1026
4112924	1793	1040	1181	1168	791	1309	794	972	1008	1435	796	908
2921999	1781	1163	1300	1636	1119	1837	1070	1219	1241	1350	903	901
2739701	1768	968	1207	1337	887	1496	959	1141	1190	1423	839	939
599316	1763	1047	1203	1226	805	1297	1105	1168	1155	1611	1112	1016
1092715	1758	1243	1328	1422	1015	1812	1073	1252	1108	1526	947	1007
4205816	1753	1174	1453	810	606	1147	555	561	599	822	433	416
3808367	1745	1063	1139	1146	972	1517	963	1095	1129	1649	1011	1015
1485908	1740	835	1058	1239	890	1308	764	894	978	1419	813	892
3119703	1725	997	1194	1259	913	1498	1017	1103	1148	1576	1028	1028
52778	1715	843	1083	1228	827	1200	929	1043	1014	1548	1121	1099
1538165	1714	926	1198	1260	988	1471	953	1101	1254	1740	1006	912
428379	1712	925	1287	1355	865	1379	902	1051	1128	1601	954	993
3810339	1711	938	981	1143	779	1241	812	984	965	1298	952	850
2095034	1703	1158	1223	1123	929	1498	872	933	998	1414	918	978
2220480	1699	1127	1256	1380	1007	1625	1098	1246	1172	1754	1109	1074
3973921	1694	992	1281	1182	866	1377	1011	1216	1218	1734	1198	1043
1383196	1694	967	1108	1231	900	1427	875	1009	1049	1618	1061	988
3521045	1693	953	1207	1312	948	1468	898	975	1054	1688	962	960
2179846	1693	1047	1343	1351	936	1583	1067	1170	1108	1860	1110	1145
3051410	1676	899	1178	1194	829	1564	984	1175	1161	2088	1288	1245
4319735	1675	1063	1032	1166	808	1426	1094	1312	1255	1950	1599	1272
3405708	1674	1130	1333	809	625	1072	506	532	627	975	406	516
2746315	1661	1019	1304	1310	882	1606	956	1201	1113	1727	1053	1182
4333958	1631	978	1110	1109	816	1278	870	1077	1074	1563	1142	996
1130322	1627	872	1207	1244	718	1286	827	934	873	1193	716	846
3759051	1618	788	960	1038	630	1150	510	674	531	1336	884	911
752746	1603	824	1063	1261	876	1343	914	1067	1094	1553	893	883
56138	1601	936	1103	1313	965	1488	895	1028	1100	1865	1301	1144
3453237	1600	802	1001	1086	711	1267	758	911	821	1461	771	881
1673338	1579	994	1256	1181	912	1451	832	1075	1074	1525	949	940
3892173	1561	951	1201	744	525	886	406	429	495	728	355	355
2627915	1558	782	873	931	642	1229	906	1288	1126	2303	1325	1440
2672882	1557	906	1043	1105	808	1314	869	956	1030	1407	963	934
203224	1556	934	1173	972	705	1339	1792	2347	2173	17051	10318	9978
2361600	1548	888	1032	779	558	948	381	398	473	869	334	404
914336	1541	907	1076	1251	996	1518	1042	1066	1080	1481	1095	965
1956133	1533	801	880	848	773	1257	854	936	879	1234	830	753
920403	1511	937	1183	1144	847	1304	1006	1152	1068	1526	1117	1033
2041171	1501	879	1032	1131	872	1501	1642	2033	2117	8311	6215	5546
188678	1473	986	1037	1168	950	1447	1410	1595	1568	1987	1306	1351
1329789	1461	812	1036	1015	763	1291	910	1108	999	1616	1185	1031
3300551	1443	815	908	1088	685	1111	821	946	881	1306	854	846
4337024	1438	935	1083	733	543	939	413	530	526	745	389	444
4095896	1430	894	1067	1151	756	1548	1036	1105	933	1454	947	967
97841	1428	1070	1147	1297	836	1175	1038	1092	1192	1394	960	911
1751012	1423	758	1044	1398	941	1675	997	1241	1086	2881	1929	1942
3552127	1419	973	1106	1075	762	1182	878	968	944	1414	859	911
1824224	1418	766	1024	1090	613	1224	1012	1138	1097	2004	1351	1373
963005	1412	842	1160	471	431	753	352	340	404	697	364	437
1753037	1404	760	919	945	724	1198	759	841	873	1270	812	781
1503175	1400	842	914	889	690	1028	731	922	954	1035	642	581
29758	1391	896	984	1225	850	1294	630	685	790	1154	676	688
4080577	1386	946	908	1113	847	1367	1162	1201	1173	1459	1057	991
357646	1382	872	973	726	490	798	342	374	427	669	350	372
4207589	1371	739	829	1126	747	1296	946	1172	1141	1809	1190	1077
964672	1340	833	1013	1006	781	1317	836	1054	900	1449	965	1066
2955678	1338	725	1008	998	653	1178	675	789	762	1309	668	694
2117854	1336	704	819	948	662	1164	791	848	869	1197	740	670
3336868	1333	778	920	567	468	857	361	317	348	613	262	334
3293030	1333	756	852	585	504	780	400	359	372	607	270	382
968129	1322	836	895	1006	728	1229	777	949	1052	1485	922	918
2416050	1322	637	747	503	350	691	309	370	289	518	242	311
713497	1312	912	843	590	510	762	462	347	389	580	259	314
3808390	1310	759	873	861	629	970	765	817	879	1269	770	752
4213794	1298	735	934	551	370	783	342	313	392	597	261	368
1122067	1297	761	787	840	549	1153	800	827	674	1035	709	724
2951186	1285	763	887	934	600	1044	726	833	820	1314	722	732
781295	1280	712	827	1008	702	1122	864	831	672	1011	714	824
541978	1276	674	786	946	667	1202	597	777	840	1015	602	550
1211240	1276	827	809	580	409	840	413	348	495	648	294	443
1268938	1262	746	927	549	418	769	299	305	295	638	259	335
4141433	1253	728	930	1306	851	1741	1185	1136	1235	2082	1340	1336
2052970	1236	759	776	841	733	1180	1007	870	1044	1508	822	971
520139	1232	709	820	783	541	999	395	439	397	676	337	393
4188521	1229	735	818	800	595	891	587	673	625	909	611	570
852789	1223	692	973	1580	1332	2383	555	508	708	929	457	642
633630	1220	766	815	979	661	1148	750	874	703	1167	739	851
2617139	1216	643	702	899	696	1018	669	840	897	1281	733	880
1483573	1215	823	1061	966	688	1185	810	862	909	1242	923	891
938003	1209	611	852	691	549	1188	710	736	760	1026	693	738
2573244	1209	726	849	828	674	1098	675	815	789	1176	748	735
782053	1207	732	807	800	600	995	689	763	721	1076	647	652
1201445	1199	670	807	857	632	1051	843	910	932	1332	772	807
752504	1197	673	791	574	426	671	368	355	416	512	304	346
2526133	1197	659	913	606	409	771	302	322	362	546	251	333
4104749	1188	782	807	369	301	544	551	718	523	1033	736	706
170585	1174	648	860	552	378	661	262	343	358	558	258	297
217854	1168	870	942	905	672	1123	987	921	1020	1522	993	1067
1823993	1163	659	844	749	565	906	710	771	676	1053	671	620
335697	1162	630	737	717	527	974	662	683	655	761	524	618
2689383	1159	682	718	859	562	1026	615	790	744	1019	635	621
3880230	1149	658	822	837	627	973	586	656	692	956	606	539
1672605	1125	677	775	793	622	912	601	680	776	1156	669	634
704761	1105	641	787	790	547	974	687	827	731	1137	806	693
2247124	1101	640	726	780	555	893	633	761	790	1179	667	648
2008841	1099	723	776	712	563	861	565	537	585	717	462	438
3006861	1087	631	823	840	539	1079	694	827	735	995	656	696
2185567	1057	707	780	753	564	874	553	683	713	1042	591	556
2598324	1049	608	745	564	390	767	249	240	276	497	249	282
4354068	1035	583	724	491	275	528	258	264	291	445	218	236
3617373	1029	641	661	834	576	825	630	684	733	1027	648	660
3904436	1009	582	648	708	461	753	528	599	571	759	470	497
4299401	1005	538	674	433	308	506	217	229	260	468	198	230
930015	997	590	666	472	304	531	228	263	275	447	200	251
1269746	997	724	1010	915	611	1100	693	756	701	1065	740	732
3384585	995	565	607	641	493	856	549	630	582	845	601	625
3736656	994	548	617	447	338	564	210	203	260	409	205	220
1112472	982	474	625	610	453	761	462	612	478	583	407	394
3685931	974	564	685	441	325	500	213	230	258	447	158	214
377477	973	658	862	866	626	978	744	813	803	1126	817	746
192548	966	604	633	433	307	540	247	271	306	457	254	223
2177601	965	509	589	672	446	792	457	554	515	792	460	448
2355842	964	512	605	726	483	684	490	591	604	836	533	531
4107733	957	514	563	611	467	659	526	518	579	904	541	462
1286830	955	551	716	762	582	863	524	625	718	930	687	581
812081	946	502	639	678	467	875	626	725	725	1046	696	563
426801	946	554	638	643	504	834	561	724	699	1122	701	717
3660730	944	467	651	664	530	828	470	688	719	1033	584	544
2171595	932	497	609	587	526	805	464	522	567	779	465	451
2858484	928	514	738	521	332	639	217	217	272	459	236	302
1385012	925	498	604	619	408	710	457	538	506	857	576	625
2222714	922	437	626	538	406	770	410	576	495	678	465	471
3643500	918	550	658	579	347	627	554	728	605	968	494	583
623870	901	560	646	663	336	680	582	692	632	1084	578	662
11734	880	506	620	343	279	466	260	222	268	354	160	190
659040	875	417	511	600	339	650	388	548	494	817	483	478
2327972	873	511	637	467	387	674	283	261	303	391	183	235
2904380	871	450	561	486	344	587	249	291	269	453	194	227
1229172	858	514	653	357	316	483	268	230	269	412	193	200
2614020	856	547	530	287	259	365	320	366	416	875	486	489
3750429	854	486	611	338	299	510	194	189	189	377	189	179
3878503	850	522	667	589	433	784	514	607	629	852	567	673
3981058	849	507	647	603	437	806	514	624	548	790	558	584
416556	847	525	621	573	430	730	403	441	496	730	353	442
2381819	846	543	616	698	554	788	456	479	584	720	442	562
3066697	844	549	710	457	294	602	278	248	298	444	202	246
1841938	836	497	676	703	454	895	516	610	539	915	531	577
2169776	834	558	615	382	311	526	296	335	290	633	302	395
977890	817	487	502	620	496	798	506	637	495	840	497	619
563840	813	486	682	558	460	827	583	617	607	942	563	617
226628	803	516	552	336	250	415	195	204	207	374	157	227
2347969	800	462	580	423	339	629	298	311	310	462	206	346
276518	792	385	519	352	225	474	215	180	185	338	144	179
3194888	791	459	537	585	414	701	492	507	464	738	468	504
1986270	790	449	532	576	387	659	389	452	479	744	447	389
3630016	786	513	556	433	382	557	224	221	254	386	167	271
28993	786	407	566	441	331	557	257	285	284	468	211	249
185977	785	497	582	619	457	769	469	563	600	741	560	485
125231	777	418	544	339	209	387	166	183	173	314	141	155
2547292	769	464	521	349	287	520	238	270	300	430	217	223
1049760	765	416	514	356	232	482	197	205	203	329	169	187
3816112	761	462	615	637	434	718	596	535	439	723	530	531
2470415	759	493	640	309	227	493	223	169	267	432	141	213
203040	758	532	532	522	389	599	924	1232	1229	9920	6367	5301
3541622	755	464	661	523	479	786	631	666	672	882	670	624
2139290	755	479	535	408	293	476	199	151	247	379	142	203
2140488	754	467	516	604	465	653	511	557	606	840	509	502
4275389	752	411	520	380	308	433	200	188	232	339	180	187
535951	747	401	566	351	273	490	192	193	188	322	132	212
3502406	747	442	567	447	296	491	417	510	519	929	515	525
841924	738	450	618	383	303	546	229	226	226	383	154	259
1353017	735	458	541	533	319	531	778	905	888	1192	825	848
841641	727	447	537	330	245	463	165	181	192	364	140	174
3635626	716	475	526	391	251	423	239	259	290	431	194	240
2152185	714	455	565	384	327	523	366	431	426	597	304	340
2113485	711	400	505	487	326	547	388	429	439	620	465	470
2691050	709	416	506	502	376	639	745	812	990	1242	827	905
1569849	708	504	602	306	242	428	233	205	233	325	147	234
3872597	700	407	420	498	297	656	419	437	449	686	409	357
3452716	696	482	422	414	382	633	438	479	456	617	489	441
1704897	695	531	568	678	471	690	500	618	677	846	534	587
3808131	691	548	529	494	408	502	534	655	668	881	578	562
2558270	690	488	469	632	446	718	493	583	614	844	597	557
2239032	689	446	499	302	224	455	154	170	172	249	141	158
3832284	669	322	429	272	228	336	152	156	210	297	125	178
1809549	668	415	470	502	345	540	378	410	421	689	408	347
4386030	666	364	426	345	292	493	467	532	566	637	344	380
3404052	664	451	465	449	307	445	227	227	244	366	158	199
2672268	663	409	511	608	402	720	446	484	507	664	452	453
3065026	658	378	476	387	390	622	405	417	376	514	326	382
3912257	639	402	475	395	351	425	334	394	315	468	268	288
3190051	639	407	452	272	182	350	150	177	169	295	105	156
2228857	634	333	471	509	317	581	307	422	326	484	354	327
453543	629	363	412	276	182	366	154	156	169	266	129	146
2111884	626	327	440	393	275	461	292	369	302	454	282	278
563531	625	374	439	433	316	534	389	418	438	619	367	371
2128372	622	352	426	382	280	460	306	381	357	551	281	382
2040996	620	380	476	326	277	436	168	151	205	388	147	158
293845	614	360	393	426	337	495	245	316	364	407	232	257
4211810	613	402	461	448	358	453	386	436	528	695	467	385
2909140	611	384	475	273	202	303	155	150	200	276	113	183
2681775	608	345	376	317	228	383	180	204	210	244	171	193
3014687	607	366	420	259	157	326	113	118	139	258	119	136
1947029	607	397	431	541	352	568	398	493	513	691	408	388
1115909	607	314	359	443	269	424	336	332	332	509	308	322
502018	604	313	302	352	253	465	288	299	259	472	264	294
194254	604	319	363	384	248	484	349	400	430	682	452	408
2087289	599	263	394	309	213	370	107	126	129	233	113	116
742056	598	410	479	590	505	562	359	460	506	648	385	415
1377228	595	462	344	288	272	453	359	323	382	600	443	359
1671617	592	359	343	381	323	473	297	349	377	546	292	315
1036872	588	343	411	482	340	610	340	399	406	565	327	351
4234229	587	300	405	415	266	492	297	338	323	437	298	311
3601367	586	373	471	501	338	589	408	469	417	589	359	434
2179565	586	343	409	455	254	447	312	394	405	583	329	369
3404067	576	408	455	368	274	439	145	198	181	272	179	134
3310960	576	337	425	244	183	325	141	191	164	292	106	132
3033487	576	232	269	286	210	460	326	350	368	334	189	265
4010914	574	375	406	449	315	501	359	406	355	470	354	393
1058546	571	349	314	272	221	376	373	390	409	644	497	417
1833015	565	357	402	852	538	991	1284	1483	1610	2734	1789	1937
1015027	563	327	319	253	181	248	109	123	149	267	115	86
2956646	560	279	352	342	219	471	278	330	329	431	240	312
2873603	557	320	346	437	312	454	347	327	352	451	343	333
1949628	554	334	400	368	312	583	312	375	242	407	283	368
1900096	553	343	452	479	351	572	1354	1404	1408	1193	700	791
275407	552	322	471	462	294	484	339	371	402	580	377	384
3265049	548	383	383	361	219	390	255	217	287	732	420	409
1358267	548	283	373	289	180	343	106	121	149	238	116	131
1979872	544	328	394	446	280	487	300	386	364	525	330	321
3289865	532	326	340	408	285	444	308	376	404	465	315	338
4231174	530	276	357	228	177	276	109	96	162	225	93	103
1633752	529	286	357	220	169	337	198	231	204	376	228	187
3058218	526	278	370	275	173	269	187	175	179	206	73	135
2758543	526	302	326	399	312	454	419	429	408	717	453	466
1500942	524	302	356	171	121	231	150	140	151	218	114	124
3052877	523	364	402	336	256	447	146	143	220	403	182	211
3382950	520	293	306	368	262	441	348	437	365	1143	715	669
2954107	520	274	298	336	262	385	251	299	276	450	342	264
1467752	520	292	382	442	286	538	324	311	350	475	311	348
2538578	518	328	445	520	301	494	424	505	365	1070	857	773
4336420	506	366	301	212	143	320	153	117	164	247	91	149
529886	504	272	338	264	184	279	140	135	156	227	86	119
4353987	498	265	326	358	266	479	304	350	271	546	328	334
988363	494	253	284	190	201	307	114	95	110	256	141	111
363768	492	354	356	434	267	508	343	353	343	473	350	265
4114274	489	303	301	279	250	351	334	281	310	503	354	383
670841	488	223	300	343	222	445	311	382	338	515	417	364
3600452	486	296	361	371	233	430	303	363	344	425	287	296
1274483	480	259	288	290	224	372	262	273	231	313	261	237
1613115	479	323	357	411	324	491	295	439	303	567	304	406
4176148	467	310	300	291	250	427	348	330	306	493	339	390
1936576	467	288	292	310	218	422	259	320	277	385	224	275
2821217	466	253	293	209	145	259	118	106	125	209	95	117
2395186	463	348	364	472	337	426	313	355	417	591	377	356
852168	462	233	388	909	618	1133	452	363	571	962	387	492
1095247	454	317	273	318	262	476	303	314	303	388	264	262
3810002	452	248	352	250	160	277	150	124	130	246	90	127
2932971	452	314	280	330	246	420	305	263	288	414	285	272
671567	433	250	316	306	226	436	257	284	279	406	270	262
165027	432	250	280	265	218	289	251	264	267	434	294	238
2754197	429	233	319	135	108	221	146	104	160	176	81	109
2625173	428	188	311	327	211	380	202	295	367	504	236	275
432795	427	237	304	233	165	273	110	162	162	555	244	285
3041842	427	141	291	290	270	334	164	232	260	312	162	249
3085946	425	271	366	354	220	448	302	256	249	417	277	240
3064092	424	250	290	199	132	283	113	130	101	172	122	114
3287571	422	279	296	262	148	261	108	114	151	223	102	91
1706882	422	225	291	223	125	229	86	120	121	180	94	103
4304479	421	269	288	160	160	207	140	128	160	190	92	99
2577206	421	301	293	295	238	430	231	280	275	437	228	293
1917266	421	296	331	324	296	424	232	264	271	434	244	274
2915821	418	251	304	344	216	407	228	333	323	490	365	369
429069	417	249	302	273	214	368	207	285	302	424	276	272
544814	415	254	262	326	213	396	235	295	283	393	257	236
172996	414	203	269	287	189	424	175	162	247	332	183	208
2327987	413	200	267	193	161	250	96	111	91	189	74	89
