TA	6-10_Pi_Input3_S3	6-10_Pi_input1_S1	6-10_Pi_input2_S2	6-10_Pi_ctrl1_S4	6-10_Pi_ctrl2_S5	6-10_Pi_ctrl3_S6	6-10_Pi_CI1_S7	6-10_Pi_CI2_S8	6-10_Pi_CI3_S9	6-10_Pi_RI1_S10	6-10_Pi_RI2_S11	6-10_Pi_RI3_S12
2246620	2496	1760	2186	1274	1037	1018	496	826	521	945	752	606
2669823	2499	2170	2342	1232	1233	1459	584	1252	703	1030	946	748
999937	2279	1933	2377	1213	1354	1364	586	834	574	1301	882	824
201967	2117	1482	1709	568	730	553	695	873	683	1615	1591	1332
4110166	1857	1472	1878	947	780	886	450	510	313	852	621	591
322627	1278	1295	1567	588	691	666	341	487	394	537	377	476
4271174	2635	2161	2700	1004	1208	1417	681	910	663	906	790	865
3829257	1867	1825	2069	881	620	826	469	706	384	579	667	474
3594754	2199	1641	1650	1136	1062	874	562	866	642	963	773	621
2367722	2400	2191	2196	987	1034	722	764	1143	890	1158	805	824
1961135	1720	1669	1958	1003	1011	808	1610	1304	1242	2336	2139	2003
1035840	1435	1365	1369	701	740	721	328	541	346	549	378	845
1883132	2023	1656	1742	777	877	860	430	574	469	757	556	457
1556963	2414	1772	1591	675	501	610	276	727	244	555	336	338
3298967	2398	2110	2237	941	1098	910	550	784	567	986	978	763
376116	1559	1186	1473	609	479	569	386	581	228	748	622	407
1294457	2170	1830	1962	1342	1255	1798	1513	1179	1299	1229	1100	754
374299	2086	1891	1919	866	1135	1225	478	880	602	693	793	651
2644095	1276	1128	1098	743	712	1016	381	572	349	537	434	548
3290723	2904	2176	2239	1012	1131	877	609	986	515	1119	844	911
2258195	2092	1665	2173	1106	1206	1043	601	1139	665	960	838	815
3755636	1488	1232	1233	642	874	659	432	544	285	452	541	317
3064797	1808	1593	1713	1218	1006	894	631	677	575	715	655	662
3857480	2246	1810	2143	1272	1373	1156	540	891	598	724	670	719
1180328	2501	1928	2521	1326	990	1394	758	965	662	1174	996	857
1823763	2095	1583	1811	772	727	894	333	678	357	688	634	519
4121427	2361	2275	2421	1067	1256	1199	620	835	587	804	649	695
395662	1645	1536	1771	796	870	979	495	727	503	705	531	597
3752227	1451	1473	1698	873	873	915	393	555	590	708	412	413
1059047	2749	2324	2318	3692	2828	3199	3813	3003	3748	4364	5012	4743
3599521	2263	1850	1710	1013	801	873	555	760	578	1168	754	884
1602454	2004	1334	1563	973	1047	990	475	796	402	771	557	549
3787079	2025	1590	2298	960	840	949	428	915	453	601	644	529
1036878	2590	2074	2793	1235	1362	1756	720	1010	651	1118	774	756
3616484	4221	2936	3645	893	955	747	481	682	446	653	720	681
2997839	2863	1724	2317	5606	5165	6577	4700	3799	4326	5249	4858	4558
3475872	1887	1465	2142	997	1276	1120	718	660	644	542	558	527
96839	2431	2245	2475	1280	1340	992	571	1061	615	1020	916	826
614583	2429	2081	2290	1071	1432	1255	780	1023	777	1087	966	672
2497030	1692	1703	2067	1013	1032	1266	520	801	536	618	632	547
2760896	2331	1617	2124	1157	1055	980	549	676	530	725	670	610
2999356	1967	1861	2060	3354	1244	1296	530	956	593	1021	773	586
2102091	1990	1479	1839	823	914	748	432	819	506	752	728	500
470487	2022	1894	2115	1270	1251	1409	588	921	498	987	702	878
2236770	2352	2028	2601	1400	1567	1621	891	1412	971	1206	1087	757
1810286	2530	2103	2714	1136	1227	1219	557	938	656	929	975	711
2848657	2495	1721	2192	1365	954	822	762	978	709	1329	1097	955
1077726	1546	1337	1793	783	1014	645	312	654	259	654	675	489
3745634	2293	1717	2098	1697	1084	977	530	970	556	937	766	729
600719	3206	2637	2862	1419	1569	1657	680	1301	910	1366	1136	991
2179058	2197	1630	2180	1300	1490	1855	423	640	354	1073	723	709
831572	1835	1640	1838	895	1020	1289	509	864	500	820	622	542
3233470	2430	2365	2702	1438	1247	1575	664	1151	728	1399	870	740
3200289	2528	1848	2038	2773	2798	2918	3146	2629	3007	3642	3436	3458
473211	2112	1603	2212	963	1043	935	689	936	532	835	555	639
2959694	2330	2051	2040	1081	1315	1256	688	924	714	890	1249	866
3540298	3291	2797	3497	1837	1992	1875	959	1548	988	1445	1544	1084
120902	2572	2443	3015	1208	1615	1271	564	974	770	1020	916	890
4036726	3820	2982	3114	2390	2749	2921	1274	1760	1332	2937	2540	2460
3300006	3212	2642	2874	1287	1327	1503	742	1204	738	1282	1023	1234
1078042	1957	1446	2689	1165	1211	1053	871	623	834	631	592	533
311576	2528	2294	2356	1000	1078	1690	583	847	612	1058	846	675
4171852	2977	2488	3292	1396	1741	1576	961	1377	834	1374	1047	771
3041257	791	1052	719	246	274	258	243	218	120	460	224	153
3287693	3541	2781	3224	1922	1413	1727	811	1278	967	1733	1114	1155
4037987	3091	2988	3162	1728	1652	1660	799	1069	911	1327	1372	1012
1037091	3621	2520	3621	1947	2010	2207	448	971	506	1700	1312	1242
35892	3215	2364	3014	1355	1195	1504	784	1273	711	1384	1212	1150
565267	3172	2464	2774	1503	1589	1574	834	952	861	1156	882	831
2915215	2869	2312	2998	1575	1571	1402	902	1195	836	1519	1081	1322
3505861	2996	2255	3227	1279	1591	1487	1215	1619	1269	1839	1889	1610
2267517	2772	2466	3071	1584	1563	1622	780	1339	726	1550	1292	935
1194863	2370	2267	2543	1218	1365	1388	1475	1017	1045	746	700	758
3911496	2988	2744	2977	1283	1339	1191	618	859	499	945	725	645
3208538	3027	2765	3139	3444	3204	3425	5013	4076	4954	7489	8051	6988
1169864	2422	2242	2422	930	1094	1229	619	898	651	1164	772	700
769424	2918	2435	3557	1316	1379	1516	729	1197	817	1398	1014	1006
991144	4760	3192	4805	1925	2144	2173	1293	1593	1025	1951	1431	1354
2694708	3017	2265	2899	1396	1127	1483	774	1037	882	1529	1083	1073
339401	1156	1114	1276	488	483	398	323	486	258	376	375	259
335511	1183	1037	1266	478	470	398	292	439	260	407	361	257
2568972	2352	2230	2215	954	1191	1032	665	889	581	930	835	664
2922339	4176	2881	3713	1462	1831	1604	762	1392	807	1403	943	1003
1141806	2119	1920	2650	1065	1156	1203	669	821	592	1065	695	540
693172	4646	3012	2786	482	566	580	210	454	342	470	457	304
2543688	3588	3103	3848	1791	1750	1462	868	1172	988	1534	1110	1037
2220782	2924	2270	2514	1138	1185	1333	726	953	762	1243	824	751
1728832	2996	2378	2951	1653	1618	1648	920	1302	927	1683	1152	940
2365325	2521	2158	2682	997	1173	1171	640	1072	690	1064	924	689
598303	3518	2916	3888	1289	1188	1365	794	1121	856	1036	961	886
3894597	2928	2443	2625	1149	1266	1200	599	942	555	937	763	828
3272180	3925	2826	4294	2140	1960	2142	949	1420	998	1690	1396	1362
1484900	3458	2594	3039	1486	1814	1709	897	1511	935	1380	1512	1237
1707205	4233	3682	4747	2526	2344	2312	1192	1878	1194	2142	1639	1226
2366068	2646	2259	2765	1869	1345	1362	738	1211	736	1247	966	864
2217380	2286	1866	2146	1213	1681	1081	760	1018	455	965	901	572
3495004	3064	2896	3454	1366	1673	1514	849	1231	954	1403	1109	972
3601186	1631	1367	1575	732	687	697	371	628	415	629	548	435
3563856	4388	3396	4475	3045	2555	2744	4143	3645	3589	4565	4424	4367
3287069	4093	3306	3907	1876	1916	2176	1146	1545	1099	2112	1497	1270
2529897	2881	2216	3525	555	720	793	342	424	297	868	415	288
3725192	1453	1107	1556	615	835	725	418	661	402	601	496	491
1170253	3548	2750	3671	2367	2509	2742	1542	2089	1504	2319	2000	1892
561714	4340	3522	4137	2489	2150	2307	1228	1637	1110	2289	1400	1279
3529028	3483	2478	2861	1584	1413	1833	816	1307	754	1459	1194	1002
2646637	3988	3002	4492	3346	4095	4511	5029	4623	4881	4685	4827	4325
4267800	4014	3396	3760	1653	1830	1856	1089	1555	1026	1811	1773	1357
2857983	3255	2899	3106	1847	1786	1826	1028	1639	1335	1490	1382	1259
2570347	2781	2558	2456	1251	1581	1442	403	680	398	1383	1041	1017
2612938	3581	2835	3522	3936	3564	4555	3358	4359	3158	8379	7281	6880
81636	3872	3108	3586	2481	2195	1778	976	1413	940	1831	1388	1548
1992002	2083	2246	2237	1029	1269	1380	645	876	625	1084	797	878
2617270	3815	3730	3716	1816	1864	1713	917	1581	1149	1628	1350	1108
2719135	3254	3419	3591	4546	4513	4447	5025	3977	4787	6161	5384	5518
4353344	3003	2612	2704	1555	1418	1487	865	1120	730	1715	1057	868
1614396	2865	2900	3052	1344	1838	1736	517	940	546	1655	1207	1250
2258319	3146	2642	3500	1478	1471	1821	1012	919	1058	926	604	2091
1095948	2906	2444	2487	1143	1515	1071	1027	1657	1014	1305	1144	971
3978784	2725	2245	2701	1178	1539	1540	680	1040	802	1329	930	931
385588	1846	1758	1715	697	695	792	381	786	485	666	718	432
155080	4077	3580	3928	4339	4017	4243	5247	4381	4727	5510	5090	4815
4140030	4248	3770	4236	2421	2354	2430	1138	1765	1152	2013	1589	1448
3162583	3513	2836	3982	2624	2436	2380	1089	1693	1086	1872	1720	1437
2089707	2921	2887	3005	1686	1706	1627	855	1292	749	1353	996	890
661116	3676	3239	4052	2669	1960	2211	926	1417	864	1799	1246	1035
2625330	2351	1744	2586	1517	1553	1643	704	1005	967	1684	1392	1282
1880994	4276	3367	4055	2037	2229	2317	947	1864	1138	2115	1710	1372
3529281	3895	3173	3694	1970	1878	1811	917	1565	1050	1691	1419	1102
1072544	4139	3316	4617	2680	2093	2280	1121	1661	1133	1888	1510	1210
57027	3468	3297	3679	2183	2193	2190	763	1197	984	1378	1231	1110
2360330	3717	3432	3677	1665	2042	2097	1111	1859	1047	1690	1435	1241
851951	3658	3106	3801	82082	82956	94706	121496	96686	125600	184789	217024	217168
2262379	3534	3128	3931	1961	2317	2175	909	1528	1112	2173	1941	1374
472897	2146	2326	2390	911	1340	1375	593	859	534	1128	868	1062
2545825	4210	3000	3331	4022	3547	3799	4185	3237	3961	5253	4820	4675
528011	3799	3641	3500	2926	2924	2875	1273	1801	1312	2229	1977	1751
852235	4172	3454	4160	83448	92234	104800	105740	84566	108129	166756	198730	189344
2392822	3914	3767	4531	2498	2790	2414	3591	3101	3409	5270	5305	4999
2799364	4134	3233	3547	2297	2188	2401	1541	1460	1444	1496	1590	911
3396194	6204	5352	6294	1842	2171	1996	1210	1623	1129	1950	1620	1322
361099	2864	2237	2420	816	1057	1283	584	950	481	926	767	1487
939677	3301	2980	3874	1804	1861	1928	886	1464	951	1727	1186	1273
843956	3341	2981	3095	1613	1519	1317	857	1101	815	1332	1009	1001
1835549	2599	2975	2956	2087	1998	2103	1168	1602	1040	1805	1342	1538
3004201	4175	3061	3293	606	854	782	513	507	689	171	197	124
412345	5073	4275	4580	3275	3446	3762	2477	2414	2360	2234	1742	2072
37342	4150	3533	4158	1895	2130	1772	1311	1676	1160	1859	1413	1359
542160	4614	3834	4283	4493	4427	4069	5149	4330	4866	4377	4719	3979
1970226	3667	3210	3665	1709	2063	1711	833	1373	934	1345	1277	1103
3776047	5267	3944	4632	2561	2745	2695	1231	1980	1332	1896	1566	1698
1151293	4954	4401	4627	2597	2887	2592	1353	1913	1279	2577	1940	1880
3404052	4177	3670	3969	2809	2552	2787	1435	2273	1731	2380	2132	1744
1523001	4771	3709	4500	2080	1958	2232	1252	1776	1192	1903	1637	1383
1701688	3725	3129	3442	1737	1772	1649	987	1344	935	1344	1389	1551
849991	4143	3410	4006	3090	2762	3235	2060	2219	1825	2266	1954	1836
2048364	4489	4300	4768	5721	5566	5280	5737	4653	5278	5627	5885	5664
222053	3210	2865	3528	1315	1591	1280	862	1107	885	1114	1221	841
3846857	3812	3110	3488	1709	1743	1815	848	1395	883	1569	1458	1316
1297682	4736	3539	3934	1939	1597	1912	1063	1456	1030	1346	1315	1048
2597183	5450	4567	5138	2495	2648	2545	1475	1969	1368	2106	1725	1336
2071481	5955	4491	5544	3457	3867	4077	2580	2265	2421	2691	1849	2022
2015880	4587	3706	4764	1757	2775	2343	1049	1693	1045	1815	1552	1196
539305	4391	3986	4223	2090	1886	2221	1214	1780	1373	1974	2053	1450
103182	3925	3242	4422	4563	4516	4773	5246	4135	4896	5527	5241	5291
878246	4239	3922	4130	1926	2267	1969	1041	1548	1106	1991	1690	1756
3868807	3825	3254	4429	4697	4428	4767	5164	4286	5008	5502	5296	5304
3556706	4802	4100	4504	2201	2474	2132	987	1651	1233	1846	1676	1313
1772369	3978	3378	4344	4668	4619	4795	5153	4209	4981	5296	5346	5206
306447	3511	2662	2965	2293	1917	1895	1419	1059	1246	1257	1134	952
3513262	5532	4170	5120	2881	2648	3081	3159	3025	2975	3158	3084	2727
3897747	6899	5796	5926	3443	4186	4092	2683	2558	2471	2163	1896	2139
1089398	2901	2226	2862	1062	1398	1157	842	1264	698	1318	850	900
68718	4854	4626	4987	3432	2527	2566	1489	2379	1259	2121	2161	1947
609118	5497	4783	5298	7047	6603	6991	7642	6056	6907	7156	7522	7085
401534	5465	4765	5104	7153	6549	6821	7604	6171	7092	7211	7636	6960
1165977	7865	5661	6891	4331	5084	4512	3233	2828	2650	2894	2463	2133
3444417	6910	5244	6992	4672	5137	5001	3033	2832	2889	2490	3018	1950
1380585	7921	6017	8191	9373	9336	9351	9445	7086	8397	9248	9523	8381
3414232	6344	5341	5658	2516	2974	3240	1515	2341	1437	2589	2055	1763
3662309	6320	5192	5560	3581	3667	4374	2800	2458	2519	2284	1819	1648
301401	6846	5968	6965	3692	4218	3818	1931	3012	1937	3898	3078	3026
3635229	7453	5192	6803	3896	4146	3821	1673	1592	1724	1508	1416	1234
1054817	8526	6762	8419	8639	8827	8975	10786	8593	10129	11938	12527	10770
3298646	6078	5481	6102	7354	7330	7227	8030	6653	7475	8513	8532	8061
2164617	9321	7256	8871	4720	5221	4614	3254	3210	3085	3325	2541	2489
4182316	5829	5013	5973	5639	4477	5147	1982	1897	1964	2009	1878	1588
4172093	8272	6824	8036	4367	4358	4483	2855	2948	2534	2595	2640	2031
2617328	7281	6555	7952	9266	8865	8668	9469	8504	8895	10688	10071	9666
1633799	5644	4809	5564	3340	3300	4057	1888	2484	1791	3255	2956	2552
2307372	5564	4063	5319	3755	6062	3738	1942	2152	2253	2545	1543	1711
1949628	5106	4481	4789	5234	6405	7907	7689	5942	6793	6175	6243	5781
4017382	5391	4171	4863	2689	2960	3197	2232	1877	1960	2011	1697	1334
1694562	8709	6484	7546	4457	4847	5169	3144	2680	2763	2697	2674	3238
2415540	3504	3144	3409	1434	1351	1659	784	1382	814	1633	1402	1104
2575482	9241	7729	9405	11655	12874	12525	13408	12078	12788	14543	15062	14255
137349	14586	9777	11852	6930	7536	6938	4691	4614	4684	5072	3845	3853
915926	8116	7180	10293	7209	8127	7666	9421	7415	8165	7807	7733	7762
486080	11016	9299	11257	12306	13598	14163	14371	13418	13954	13938	14497	14337
3549678	7628	6744	7829	6539	5960	6599	8997	6743	7789	9048	8775	8760
850272	7681	6703	8759	6563	6825	6578	5980	5043	5294	4281	3817	4431
383081	7018	5659	7079	8104	7914	8493	11023	9021	9854	12014	13329	12540
36173	8513	6993	8022	9937	9410	11079	11213	9008	10519	11965	11095	10018
3013523	10184	6951	10485	12545	13523	12619	14524	12402	14570	16497	17105	15580
3034326	5074	4495	5375	3865	4250	4285	6307	4701	5483	7648	7480	7298
4340015	6104	5166	5990	6282	6329	5678	7248	6130	6893	7275	7804	7019
3954850	8287	6642	7534	4020	4342	4415	2735	2895	2858	2699	2598	2206
1627471	4471	3977	4313	4421	3176	3546	1804	1945	1861	1751	1777	1284
3033472	6253	5698	6553	3968	4076	4188	3109	2731	2556	2700	1873	2254
1631060	4402	3923	4349	4253	3041	3301	1794	2021	1797	1645	1779	1260
140137	9220	7448	9906	11176	13928	12171	14737	11450	13778	9712	10689	10801
1143465	9265	7706	9000	5735	6021	6524	9214	7644	8132	6936	6218	5498
3780915	8735	7285	8888	4975	4742	5571	3172	3333	3288	3354	2637	2616
473030	6920	6946	7819	5990	5886	6435	8636	6326	7204	7989	8847	7789
3178427	9181	7994	8539	4503	3551	3948	2015	2117	1970	1504	1551	1422
1065697	12230	9041	11770	2112	638	1459	822	508	585	1095	934	5742
3939606	7580	7250	7972	5303	6292	5858	4940	4545	5004	4720	3872	3432
2084046	8083	7775	9872	8662	9262	9500	9607	8250	8580	11634	10967	12191
769924	9800	7407	9767	9623	9624	9858	11124	10199	10866	11931	12104	10460
4177537	10969	9852	12574	13622	13907	13329	15422	13224	15378	15226	15739	14533
2401078	11131	8399	10522	9746	9603	10820	11243	9082	10720	10789	10587	9625
3896739	12761	10377	13181	15598	14818	15671	16705	14701	16734	19946	18094	18600
2940997	12671	10075	12643	10725	7709	7697	3429	3601	3415	3511	3130	2471
1023741	11613	9880	11026	12703	14357	13917	14841	12491	13983	15496	15408	15833
367338	10534	8454	10551	12561	11888	13559	13861	11779	13065	13704	13882	12369
4323568	12031	9236	12891	10201	10881	11268	11254	9296	11567	11307	10936	11278
1589442	9303	8297	8933	10395	10295	11893	12455	9996	12115	13898	14298	12841
743892	10096	8854	10746	5950	6404	7050	4591	3865	3887	4059	3841	3153
562324	16370	11946	17431	16974	19524	20473	21537	18231	20913	22822	22723	22184
3452230	14394	11070	13222	15945	14418	13130	15328	12568	14104	15326	14562	14634
231385	14209	11340	13997	16012	17382	16655	19301	16799	19013	21180	21222	19056
3941689	10923	9666	12061	12634	14830	14496	14120	12833	13456	14412	14211	13697
178094	13120	11540	12951	13665	13906	13237	15114	12785	13480	15082	14589	16179
544690	9121	7228	7627	5220	5029	5371	3490	3193	3108	3339	2604	2935
2758306	10652	9379	8974	9400	10368	8922	12806	10301	11678	11886	12765	13239
2001676	10027	7565	10050	12417	10801	12592	11961	11366	11492	12035	12371	11371
365549	8973	8419	9320	11111	10943	10262	12288	9617	11213	10977	11555	11991
114593	9157	7837	10024	9995	10984	10734	12295	9802	11290	13291	14624	12984
3886523	9004	6534	10006	10611	12301	10493	12978	10460	12331	15174	13808	14952
2550411	14817	12071	15198	17688	17417	17517	19020	15541	18550	19686	19748	18214
3042179	7205	5684	6242	6930	6590	7529	7769	6430	7901	7861	7853	8158
